dataset,method,selected_features,samples,features,classes,ACC,NMI,ARI,F1
JAFFE,AllFeatures,676,213,676,10,0.910798,0.924731,0.837489,0.910216
JAFFE,SparseGraphRegression,20,213,676,10,0.652582,0.779649,0.590095,0.628565
JAFFE,SparseGraphRegression,50,213,676,10,0.896714,0.901582,0.812249,0.895333
JAFFE,SparseGraphRegression,100,213,676,10,0.915493,0.927437,0.848981,0.914244
JAFFE,LaplacianScore,20,213,676,10,0.840376,0.843925,0.70509,0.840062
JAFFE,LaplacianScore,50,213,676,10,0.699531,0.832276,0.654617,0.649408
JAFFE,LaplacianScore,100,213,676,10,0.704225,0.841464,0.666693,0.652355
JAFFE,Variance,20,213,676,10,0.807512,0.836812,0.69861,0.775517
JAFFE,Variance,50,213,676,10,0.84507,0.887934,0.774288,0.815177
JAFFE,Variance,100,213,676,10,0.840376,0.881851,0.762613,0.8113
MNIST,AllFeatures,784,3000,784,10,0.493667,0.447778,0.320289,0.484628
MNIST,SparseGraphRegression,20,3000,784,10,0.135,0.074803,0.003375,0.076847
MNIST,SparseGraphRegression,50,3000,784,10,0.165667,0.100658,0.007201,0.117799
MNIST,SparseGraphRegression,100,3000,784,10,0.231667,0.166851,0.043263,0.174766
MNIST,LaplacianScore,20,3000,784,10,0.150667,0.1466,0.009219,0.102902
MNIST,LaplacianScore,50,3000,784,10,0.195333,0.219433,0.025766,0.162471
MNIST,LaplacianScore,100,3000,784,10,0.313667,0.292035,0.10034,0.287673
MNIST,Variance,20,3000,784,10,0.131667,0.045858,0.003377,0.059182
MNIST,Variance,50,3000,784,10,0.277667,0.202793,0.104475,0.213523
MNIST,Variance,100,3000,784,10,0.415,0.316004,0.200223,0.377439
TOX_171,AllFeatures,5748,171,5748,4,0.444444,0.230989,0.161102,0.442183
TOX_171,SparseGraphRegression,20,171,5748,4,0.438596,0.23045,0.130978,0.404167
TOX_171,SparseGraphRegression,50,171,5748,4,0.426901,0.19854,0.108755,0.39242
TOX_171,SparseGraphRegression,100,171,5748,4,0.45614,0.302307,0.146711,0.431404
TOX_171,LaplacianScore,20,171,5748,4,0.51462,0.348298,0.208163,0.517788
TOX_171,LaplacianScore,50,171,5748,4,0.532164,0.353735,0.215432,0.533075
TOX_171,LaplacianScore,100,171,5748,4,0.479532,0.347098,0.187219,0.483997
TOX_171,Variance,20,171,5748,4,0.391813,0.158268,0.093164,0.399083
TOX_171,Variance,50,171,5748,4,0.444444,0.249656,0.183738,0.439361
TOX_171,Variance,100,171,5748,4,0.473684,0.265997,0.190119,0.451132
Yale,AllFeatures,1024,165,1024,15,0.50303,0.576729,0.337137,0.478457
Yale,SparseGraphRegression,20,165,1024,15,0.424242,0.489639,0.202097,0.416535
Yale,SparseGraphRegression,50,165,1024,15,0.363636,0.428523,0.147629,0.357798
Yale,SparseGraphRegression,100,165,1024,15,0.460606,0.529708,0.268978,0.449349
Yale,LaplacianScore,20,165,1024,15,0.442424,0.509672,0.231617,0.431397
Yale,LaplacianScore,50,165,1024,15,0.406061,0.510509,0.216995,0.386622
Yale,LaplacianScore,100,165,1024,15,0.418182,0.540835,0.243764,0.406519
Yale,Variance,20,165,1024,15,0.430303,0.481772,0.213047,0.420163
Yale,Variance,50,165,1024,15,0.430303,0.528429,0.243658,0.412111
Yale,Variance,100,165,1024,15,0.454545,0.520619,0.254327,0.447393
lung,AllFeatures,3312,203,3312,5,0.788177,0.632786,0.516962,0.760294
lung,SparseGraphRegression,20,203,3312,5,0.871921,0.701837,0.750844,0.674971
lung,SparseGraphRegression,50,203,3312,5,0.871921,0.69448,0.748857,0.676175
lung,SparseGraphRegression,100,203,3312,5,0.876847,0.711864,0.763269,0.681851
lung,LaplacianScore,20,203,3312,5,0.472906,0.397356,0.132807,0.464217
lung,LaplacianScore,50,203,3312,5,0.482759,0.42759,0.17701,0.416688
lung,LaplacianScore,100,203,3312,5,0.566502,0.487651,0.271117,0.658474
lung,Variance,20,203,3312,5,0.536946,0.326147,0.159558,0.487889
lung,Variance,50,203,3312,5,0.625616,0.486387,0.251932,0.630553
lung,Variance,100,203,3312,5,0.655172,0.584555,0.3915,0.694413
